,Dropped,RMSE,Diff from Base
124,"[31, 534, 969]",0.124602213288,-0.000430454540512
146,"[524, 692, 496, 917]",0.12470891972,-0.000323748108752
254,"[31, 534, 917, 969]",0.124764821292,-0.000267846537008
24,"[692, 969]",0.124858444316,-0.000174223512812
220,"[692, 534, 917, 969]",0.124867884106,-0.000164783722432
8,[917],0.124870416323,-0.000162251505888
213,"[692, 31, 496, 969]",0.124872240582,-0.000160427246214
398,"[524, 692, 1183, 496, 534, 917]",0.124893212128,-0.000139455700288
93,"[692, 534, 969]",0.124895419265,-0.000137248564027
44,"[534, 969]",0.12489806067,-0.000134607158663
20,"[692, 31]",0.12490118121,-0.000131486618323
219,"[692, 496, 917, 969]",0.124902844469,-0.000129823359782
87,"[692, 31, 917]",0.124936427177,-9.62406520753e-05
37,"[31, 534]",0.124958641504,-7.40263249193e-05
0,[],0.125032667829,0.0
85,"[692, 31, 496]",0.125050739551,1.80717224018e-05
122,"[31, 496, 969]",0.125060153419,2.74855907146e-05
22,"[692, 534]",0.125062497217,2.98293881506e-05
232,"[1183, 31, 496, 917]",0.125081189885,4.85220560249e-05
194,"[692, 1183, 31, 969]",0.125087964329,5.52965003768e-05
340,"[692, 1183, 31, 534, 969]",0.125160617405,0.000127949576676
38,"[31, 917]",0.125173821376,0.000141153547244
120,"[31, 496, 534]",0.125174521617,0.000141853788703
89,"[692, 496, 534]",0.12520432088,0.000171653051078
218,"[692, 496, 534, 969]",0.125220505875,0.000187838046146
103,"[1183, 31, 969]",0.1252243866,0.000191718770882
28,"[1183, 534]",0.125239503966,0.000206836137437
7,[534],0.125264483009,0.000231815180607
92,"[692, 534, 917]",0.125308143689,0.000275475860024
235,"[1183, 31, 534, 969]",0.125320861147,0.000288193318183
76,"[692, 1183, 496]",0.125321868942,0.000289201113729
356,"[692, 31, 496, 534, 917]",0.125324052921,0.000291385091877
101,"[1183, 31, 534]",0.125330323725,0.000297655896322
43,"[534, 917]",0.125332635249,0.000299967420771
36,"[31, 496]",0.125333645874,0.000300978045353
195,"[692, 1183, 496, 534]",0.125358733878,0.000326066049316
40,"[496, 534]",0.125359552361,0.000326884532208
252,"[31, 496, 534, 969]",0.125365768955,0.00033310112586
91,"[692, 496, 969]",0.125372521937,0.000339854108291
237,"[1183, 496, 534, 917]",0.125380642137,0.000347974307958
79,"[692, 1183, 969]",0.125383905643,0.000351237814441
374,"[1183, 31, 534, 917, 969]",0.125389705441,0.00035703761196
121,"[31, 496, 917]",0.125398648578,0.000365980749296
21,"[692, 496]",0.125437838511,0.000405170682759
236,"[1183, 31, 917, 969]",0.125440489926,0.000407822097124
191,"[692, 1183, 31, 496]",0.125443772155,0.000411104326616
338,"[692, 1183, 31, 496, 969]",0.12545094703,0.000418279201701
341,"[692, 1183, 31, 917, 969]",0.125452231802,0.000419563972865
126,"[496, 534, 917]",0.125463093792,0.000430425963019
199,"[692, 1183, 534, 969]",0.125464329297,0.000431661468294
217,"[692, 496, 534, 917]",0.125475552942,0.000442885113445
3,[1183],0.125476958012,0.000444290183464
372,"[1183, 31, 496, 534, 969]",0.125484484936,0.000451817107472
26,"[1183, 31]",0.125508825041,0.000476157212119
336,"[692, 1183, 31, 496, 534]",0.125524226981,0.000491559152586
18,"[692, 1183]",0.125529569545,0.000496901716594
129,"[534, 917, 969]",0.125540524638,0.000507856809093
94,"[692, 917, 969]",0.125550918323,0.000518250494276
233,"[1183, 31, 496, 969]",0.125550943058,0.00051827522905
77,"[692, 1183, 534]",0.125558950545,0.000526282716773
211,"[692, 31, 496, 534]",0.125605050172,0.000572382343366
75,"[692, 1183, 31]",0.125612158653,0.000579490823881
109,"[1183, 917, 969]",0.125620525568,0.000587857739237
345,"[692, 1183, 534, 917, 969]",0.125621980926,0.000589313097758
106,"[1183, 496, 969]",0.125639884917,0.000607217087951
449,"[692, 1183, 31, 496, 534, 969]",0.125642936599,0.000610268770426
127,"[496, 534, 969]",0.125647951292,0.000615283462911
373,"[1183, 31, 496, 917, 969]",0.125651024007,0.000618356177882
343,"[692, 1183, 496, 534, 969]",0.125659642578,0.000626974749401
197,"[692, 1183, 496, 969]",0.125666172974,0.000633505145231
238,"[1183, 496, 534, 969]",0.125670644331,0.000637976501923
200,"[692, 1183, 917, 969]",0.125671616648,0.000638948818903
88,"[692, 31, 969]",0.12567805444,0.000645386611709
90,"[692, 496, 917]",0.125681220917,0.000648553088116
41,"[496, 917]",0.125727575043,0.000694907213912
192,"[692, 1183, 31, 534]",0.125739090671,0.000706422842195
107,"[1183, 534, 917]",0.125779375502,0.000746707673062
234,"[1183, 31, 534, 917]",0.125795876698,0.000763208869525
45,"[917, 969]",0.125804338282,0.000771670453719
29,"[1183, 917]",0.125812073857,0.000779406028201
450,"[692, 1183, 31, 496, 917, 969]",0.125822442825,0.000789774996654
499,"[692, 1183, 31, 496, 534, 917, 969]",0.125855322968,0.000822655139178
128,"[496, 917, 969]",0.125889894754,0.000857226925266
342,"[692, 1183, 496, 534, 917]",0.125931230471,0.000898562642854
78,"[692, 1183, 917]",0.125957090557,0.00092442272812
231,"[1183, 31, 496, 534]",0.125980358847,0.000947691018093
105,"[1183, 496, 917]",0.126016128547,0.000983460718836
198,"[692, 1183, 534, 917]",0.126060358731,0.00102769090263
371,"[1183, 31, 496, 534, 917]",0.12621252896,0.00117986113142
251,"[31, 496, 534, 917]",0.126303381286,0.00127071345712
100,"[1183, 31, 496]",0.126361389511,0.00132872168241
452,"[692, 1183, 496, 534, 917, 969]",0.12650186129,0.00146919346109
239,"[1183, 496, 917, 969]",0.126552396006,0.00151972817737
339,"[692, 1183, 31, 534, 917]",0.126644437012,0.00161176918288
27,"[1183, 496]",0.127136456228,0.00210378839917
344,"[692, 1183, 496, 917, 969]",0.127146089872,0.00211342204357
451,"[692, 1183, 31, 534, 917, 969]",0.127438288759,0.00240562093076
2,[692],0.1277052671,0.00267259927154
448,"[692, 1183, 31, 496, 534, 917]",0.127720880866,0.00268821303708
240,"[1183, 534, 917, 969]",0.128116488702,0.00308382087291
375,"[1183, 496, 534, 917, 969]",0.12838108599,0.00334841816163
255,"[496, 534, 917, 969]",0.128629609304,0.00359694147519
212,"[692, 31, 496, 917]",0.128865505679,0.00383283784997
337,"[692, 1183, 31, 496, 917]",0.129010858974,0.00397819114538
104,"[1183, 496, 534]",0.129731569492,0.00469890166304
